"","x_","y_","t_","burst_"
"45",4311630.01679879,3446474.40969521,2008-04-10 06:01:24,2
"46",4311637.83358919,3446461.30141683,2008-04-10 12:01:52,2
"47",4311638.7384716,3446525.27905923,2008-04-10 18:00:48,2
"48",4311719.19307009,3446485.15037054,2008-04-11 00:00:26,2
"49",4311629.94610509,3446469.41144167,2008-04-11 06:01:47,2
"50",4311622.14345324,3446483.51937053,2008-04-11 12:01:23,2
"51",4311586.91463327,3446468.01853785,2008-04-11 18:02:51,2
"52",4311679.8442834,3446602.68769335,2008-04-12 00:01:54,2
"53",4311531.90303042,3446326.81550734,2008-04-12 06:01:49,2
"54",4311588.41616624,3446362.01323985,2008-04-12 12:00:55,2
"55",4311601.94025634,3446398.81699644,2008-04-12 18:02:23,2
"56",4311704.79614349,3446457.357593,2008-04-13 00:00:43,2
"57",4311532.83241282,3446321.80315017,2008-04-13 06:02:52,2
"58",4311514.2231317,3446279.07198003,2008-04-13 12:00:54,2
"59",4311612.95898116,3446470.65083212,2008-04-13 18:01:54,2
"60",4312069.89764092,3446528.19728143,2008-04-14 00:00:26,2
"61",4313978.67851153,3446900.20650238,2008-04-14 06:00:50,2
"62",4313969.53643367,3446890.3370675,2008-04-14 12:01:27,2
"63",4313971.43757461,3446883.31131342,2008-04-14 18:01:49,2
"64",4313976.56522217,3446892.23755965,2008-04-15 00:01:26,2
"65",4313992.594656,3446894.01102124,2008-04-15 06:00:54,2
"66",4313976.46621959,3446885.24003442,2008-04-15 12:00:53,2
"67",4313964.22492482,3446868.41541643,2008-04-15 18:00:50,2
"68",4313976.56522217,3446892.23755965,2008-04-16 00:00:25,2
"69",4313985.79215972,3446908.10487258,2008-04-16 06:01:49,2
"70",4313977.7067263,3446902.21990969,2008-04-16 12:02:22,2
"71",4313972.56493528,3446892.29401727,2008-04-16 18:01:42,2
"72",4313936.4774933,3446886.80425326,2008-04-17 00:01:18,2
"73",4313978.6360818,3446897.20756305,2008-04-17 06:00:53,2
"74",4313983.53743768,3446890.13946572,2008-04-17 12:00:54,2
"75",4313992.39665052,3446880.01597108,2008-04-17 18:00:53,2
"76",4314131.91144416,3445853.20404971,2008-04-18 00:01:42,2
"77",4314129.99615557,3445859.2301644,2008-04-18 06:01:18,2
"78",4314136.98250243,3445858.13172078,2008-04-18 12:01:47,2
"79",4314146.14484074,3445728.02223343,2008-04-18 18:02:15,2
"80",4314131.08107649,3445865.21393805,2008-04-19 00:00:53,2
"81",4314877.62155595,3445535.72581443,2008-04-19 06:01:50,2
"82",4315219.27901754,3444798.01491792,2008-04-19 12:01:52,2
"83",4315055.68834553,3444759.33041164,2008-04-19 18:02:34,2
"84",4314143.03948871,3445862.04563002,2008-04-20 00:00:26,2
"85",4313976.66422483,3446899.23508479,2008-04-20 06:01:23,2
"86",4314069.84061032,3446909.91817767,2008-04-20 12:03:06,2
"87",4313975.60758014,3446895.25061343,2008-04-20 18:01:47,2
"88",4314026.77092183,3446976.51588391,2008-04-21 00:02:11,2
"89",4314080.75653746,3446903.7650359,2008-04-21 06:02:24,2
"90",4314017.24696981,3446939.65600419,2008-04-21 12:01:42,2
"91",4313992.73608868,3446904.00748543,2008-04-21 18:01:48,2
"92",4314132.01043706,3445860.20158496,2008-04-22 00:01:18,2
"93",4314130.9679417,3445857.21675495,2008-04-22 11:00:54,3
"94",4314105.26310415,3445878.57631477,2008-04-22 18:32:56,4
"95",4313133.98002037,3446089.25153036,2008-04-23 00:33:25,4
"96",4312712.92921433,3446235.17020896,2008-04-23 06:34:23,4
"97",4312723.09325446,3446388.00369619,2008-04-23 15:31:24,5
"98",4312340.99602756,3446671.3514349,2008-04-23 21:31:56,5
"99",4311648.5233535,3446439.15397432,2008-04-24 03:32:48,5
"100",4311629.01672452,3446474.4237976,2008-04-24 09:33:42,5
"101",4311578.24576305,3446350.15844815,2008-04-24 15:35:11,5
"102",4311626.05891792,3446477.46505684,2008-04-24 21:35:55,5
"103",4311565.82072066,3446320.33814049,2008-04-25 03:36:42,5
"104",4311603.81692565,3446460.78124501,2008-04-25 09:38:23,5
"105",4311579.95276251,3446400.12689329,2008-04-25 15:42:26,5
"106",4312361.43196484,3446631.06923254,2008-04-25 21:43:24,5
"107",4312673.01891897,3446383.7108229,2008-04-26 03:44:14,5
"108",4312668.35403604,3446336.78373407,2008-04-26 09:46:12,5
"109",4312677.46393065,3446273.66474938,2008-04-26 15:46:56,5
"110",4312670.61266271,3445647.8556608,2008-04-26 21:47:26,5
"111",4313269.86487805,3445866.36787724,2008-04-27 03:48:54,5
"112",4312654.23857809,3446046.0267686,2008-04-27 12:00:53,6
"113",4312657.29535362,3446049.98304768,2008-04-27 18:01:42,6
"114",4312574.19790754,3447953.86575076,2008-04-28 00:00:42,6
"115",4311648.89096074,3446465.14489287,2008-04-28 06:00:53,6
"116",4311573.27366927,3446352.22825985,2008-04-28 12:00:48,6
"117",4311626.17202792,3446485.46226244,2008-04-28 18:02:02,6
"118",4311599.85151634,3446321.8579766,2008-04-29 00:00:53,6
"119",4311627.94595656,3446469.43964642,2008-04-29 06:00:53,6
"120",4311606.46368186,3446435.7476687,2008-04-29 12:01:23,6
"121",4311630.7765146,3446457.40153062,2008-04-29 18:01:48,6
"122",4312345.26253354,3446902.25627625,2008-04-30 00:00:50,6
"123",4311629.04500201,3446476.42309901,2008-04-30 06:00:53,6
"124",4311607.0254588,3446404.74439082,2008-04-30 12:01:42,6
"125",4311630.05921503,3446477.40864732,2008-04-30 18:01:46,6
"126",4313453.46392906,3445763.79263769,2008-05-03 00:01:15,7
"127",4314131.93972784,3445855.20334551,2008-05-03 06:00:55,7
"128",4314121.82190032,3445776.35817835,2008-05-03 12:01:18,7
"129",4314121.49664169,3445753.36627302,2008-05-03 18:01:53,7
"130",4314008.7959,3445705.96418467,2008-05-04 00:00:44,7
"131",4314101.9053561,3445782.63833576,2008-05-04 06:01:33,7
"132",4314136.99664428,3445859.13136867,2008-05-04 12:00:56,7
"133",4314105.01471226,3445719.60405147,2008-05-04 18:01:36,7
"134",4313928.55387716,3445761.08832347,2008-05-05 00:00:25,7
"135",4314122.69469478,3445767.34723244,2008-05-05 06:01:11,7
"136",4314136.1238512,3445868.14231324,2008-05-05 12:00:49,7
"137",4314143.21534027,3445733.06281445,2008-05-05 18:01:51,7
"138",4314362.88510471,3445846.94472243,2008-05-06 00:01:24,7
"139",4314063.7794184,3445845.16693535,2008-05-06 06:00:49,7
"140",4314154.30095587,3445738.90545354,2008-05-06 12:01:11,7
"141",4314122.49671135,3445753.35215955,2008-05-06 18:01:53,7
"142",4313997.52644672,3445687.12610688,2008-05-07 00:00:54,7
"143",4314083.78081595,3445844.88466803,2008-05-07 06:00:55,7
"144",4314102.46088023,3445892.61372594,2008-05-07 12:00:45,7
"145",4314133.01050687,3445860.18747129,2008-05-07 18:00:56,7
"146",4313842.37421055,3445679.31704142,2008-05-08 00:00:26,7
"147",4314066.79376979,3445846.12424339,2008-05-08 06:01:14,7
"148",4314170.67375353,3445835.65959977,2008-05-08 12:01:18,7
"149",4314120.52485535,3445755.37968264,2008-05-08 18:00:53,7
"150",4314585.5409888,3445464.86002122,2008-05-09 00:00:43,7
"151",4314886.46660189,3445524.60264316,2008-05-09 06:01:53,7
"152",4314882.48047163,3445525.65875776,2008-05-09 12:00:55,7
"153",4314464.15275344,3445722.53423334,2008-05-10 00:00:49,8
"154",4314126.80810708,3445775.28796275,2008-05-10 06:00:54,8
"155",4314160.66905816,3445764.81162032,2008-05-10 12:00:54,8
"156",4314128.2284378,3445734.27416511,2008-05-10 18:01:48,8
"157",4313160.69223227,3446704.78105253,2008-05-11 00:00:43,8
"158",4311624.17187933,3446485.49046719,2008-05-11 06:01:41,8
"159",4311606.81338001,3446389.74962785,2008-05-11 12:00:47,8
"160",4311629.04500201,3446476.42309901,2008-05-11 18:00:50,8
"161",4311679.55116227,3446652.68431532,2008-05-12 00:00:54,8
"162",4311611.9871843,3446472.66423589,2008-05-12 06:01:41,8
"163",4311562.38596117,3446360.38058885,2008-05-12 12:01:11,8
"164",4311615.02982332,3446475.62088117,2008-05-12 18:02:09,8
"165",4312357.78662485,3446939.07400694,2008-05-13 00:00:44,8
"166",4312713.07061573,3446245.16670345,2008-05-13 06:01:11,8
"167",4312692.83654861,3446370.43323493,2008-05-13 12:01:42,8
"168",4312708.09216464,3446388.21530939,2008-05-13 18:01:17,8
"169",4313744.92024316,3446497.56773739,2008-05-14 00:00:43,8
"170",4312659.33791725,3446052.95378362,2008-05-14 06:01:24,8
"171",4312662.19673626,3446042.91496485,2008-05-14 12:00:43,8
"172",4312688.16778545,3446252.51693149,2008-05-14 18:01:12,8
"173",4312268.41873296,3446773.35985848,2008-05-15 00:00:44,8
"174",4311615.0722395,3446478.61983334,2008-05-15 06:01:54,8
"175",4311584.64208576,3446378.06406299,2008-05-15 12:00:54,8
"176",4311619.01598175,3446474.56482116,2008-05-15 18:01:18,8
"177",4311823.66726083,3447294.55473341,2008-05-16 00:00:55,8
"178",4311810.75112322,3447300.73598591,2008-05-16 06:02:16,8
"179",4311803.95881506,3447244.84026015,2008-05-16 12:00:55,8
"180",4311815.68079836,3447295.66721824,2008-05-16 18:01:24,8
"181",4311856.85507248,3447590.04174501,2008-05-17 00:04:55,8
"182",4312617.91837054,3447933.25200946,2008-05-17 06:06:12,8
"183",4312586.46752265,3447972.68973131,2008-05-17 12:06:49,8
"184",4311925.42822414,3447417.10071574,2008-05-17 18:07:54,8
"185",4311511.00135365,3446617.06680662,2008-05-18 00:08:41,8
"186",4311610.71847479,3446453.68497388,2008-05-18 06:09:26,8
"187",4311613.05795218,3446477.64838724,2008-05-18 12:10:42,8
"188",4311613.76111363,3446456.64161936,2008-05-18 18:12:23,8
"189",4311669.47592547,3446576.83780927,2008-05-19 00:13:23,8
"190",4311621.90309479,3446466.52530835,2008-05-19 06:15:23,8
"191",4311569.66925001,3446380.27489476,2008-05-19 12:16:52,8
"192",4311598.91552497,3446467.84931151,2008-05-19 18:18:23,8
"193",4311801.90463551,3447028.90189192,2008-05-20 00:18:56,8
"194",4311818.65274374,3447293.62560669,2008-05-20 06:21:50,8
"195",4311806.6235588,3447291.79556164,2008-05-20 12:22:44,8
"196",4311813.87861249,3447309.69051432,2008-05-20 18:24:53,8
"197",4312570.50147211,3446844.0874135,2008-05-21 00:25:25,8
"198",4313976.56522217,3446892.23755965,2008-05-21 06:26:26,8
"199",4314010.31308089,3446873.76403117,2008-05-21 12:27:47,8
"200",4313976.64004054,3446968.22480006,2008-05-21 18:29:23,8
"201",4313932.60859152,3446966.84654171,2008-05-22 00:29:56,8
"202",4313966.52207527,3446889.37976414,2008-05-22 06:31:46,8
"203",4314030.76299791,3446834.48141357,2008-05-22 12:33:42,8
"204",4314047.58445392,3446892.23507025,2008-05-22 18:35:42,8
"205",4314655.31496878,3447073.62735104,2008-05-23 00:37:17,8
"206",4314653.27239282,3447070.65665166,2008-05-23 06:38:19,8
"207",4314660.85021929,3446828.58719123,2008-05-23 12:39:17,8
"208",4314633.54967074,3447019.94298775,2008-05-23 18:40:52,8
"209",4314955.17485402,3449037.08463531,2008-05-24 00:41:54,8
"210",4315091.59783876,3449771.0406896,2008-05-24 06:42:26,8
"211",4314953.53997955,3449910.96835169,2008-05-24 12:43:18,8
"212",4315047.84469446,3449718.66709384,2008-05-24 18:43:55,8
"213",4316411.50667395,3450092.34008271,2008-05-25 00:44:53,8
"214",4318008.92986416,3450444.70014885,2008-05-25 06:45:42,8
"215",4318156.21850273,3450391.62611073,2008-05-25 12:47:12,8
"216",4318077.26451812,3450325.75352872,2008-05-25 18:50:13,8
"217",4318284.45411003,3450405.81027417,2008-05-26 00:50:56,8
"218",4318334.12707762,3450311.12350112,2008-05-26 06:52:24,8
"219",4318318.5506188,3450341.33877402,2008-05-26 12:54:16,8
"220",4318378.44663221,3450403.48138329,2008-05-26 18:56:47,8
"221",4318160.22377498,3450462.55770864,2008-05-27 00:58:04,8
"222",4318152.92101983,3450370.67621405,2008-05-27 06:59:47,8
"223",4318118.89450483,3450228.1809847,2008-05-27 14:00:56,9
"224",4318370.73833422,3450353.5986821,2008-05-27 20:00:41,9
"225",4318193.73991616,3450357.10122244,2008-05-28 02:00:06,9
"226",4318124.40942315,3450335.08530224,2008-05-28 08:01:02,9
"227",4318054.23456684,3450324.07947071,2008-05-28 14:00:49,9
"228",4318113.48439272,3450411.22718189,2008-05-28 20:00:54,9
"229",4318381.21951305,3450175.48000055,2008-05-29 02:00:43,9
"230",4318382.7391849,3450353.42898796,2008-05-29 08:01:23,9
"231",4318237.3417045,3450257.50112582,2008-05-29 14:00:55,9
"232",4318109.87548731,3450368.28533102,2008-05-29 20:01:17,9
"233",4318240.91397931,3450580.39703102,2008-05-30 02:00:57,9
"234",4318201.77966249,3450712.92844146,2008-05-30 08:01:23,9
"235",4318211.73791107,3450709.78813206,2008-05-30 14:00:47,9
"236",4317970.01623997,3450310.27265648,2008-05-30 20:00:49,9
"237",4317976.17237657,3450321.18380174,2008-05-31 02:00:23,9
"238",4318065.2495069,3450324.92356986,2008-05-31 08:01:17,9
"239",4318184.0031823,3450305.24750744,2008-05-31 14:00:31,9
"240",4318190.2959017,3450255.1668136,2008-05-31 20:01:23,9
"241",4318322.36608211,3450116.32211055,2008-06-01 02:01:18,9
"242",4318112.79499088,3450221.2683816,2008-06-01 08:01:41,9
"243",4318065.0188055,3450449.90613423,2008-06-01 14:01:08,9
"244",4318002.16007852,3450319.81654769,2008-06-01 20:00:53,9
"245",4317435.07639726,3450112.86866989,2008-06-02 02:01:12,9
"246",4317490.45277953,3449997.10478912,2008-06-02 08:00:42,9
"247",4317479.32460581,3449988.26356481,2008-06-02 14:00:34,9
"248",4317462.78561215,3449950.5035776,2008-06-02 20:00:54,9
"249",4317466.28121237,3449985.44842716,2008-06-03 02:00:53,9
"250",4317954.31600681,3449978.54941455,2008-06-03 08:00:23,9
"251",4318160.53520319,3450484.54965629,2008-06-03 14:00:54,9
"252",4318043.01304315,3450591.1938955,2008-06-03 20:02:12,9
"253",4318269.89688199,3450507.99917752,2008-06-04 02:01:12,9
"254",4318193.98641159,3450657.04794685,2008-06-04 08:00:49,9
"255",4318046.35299887,3450615.14269074,2008-06-04 14:01:00,9
"256",4317961.84156419,3450439.36689378,2008-06-04 20:00:52,9
"257",4318367.53078782,3450409.63473944,2008-06-05 02:01:24,9
"258",4318236.28501114,3450253.51672928,2008-06-05 08:00:47,9
"259",4318229.2986701,3450254.61534571,2008-06-05 14:00:55,9
"260",4318162.02495883,3450236.56968191,2008-06-05 20:00:47,9
"261",4317910.66804272,3450428.09237616,2008-06-06 02:00:53,9
"262",4317997.76916317,3450574.83640652,2008-06-06 08:00:38,9
"263",4317972.77157518,3450434.21318989,2008-06-06 14:00:57,9
"264",4318092.17227438,3450601.49700771,2008-06-06 20:00:41,9
"265",4318274.2693721,3450392.95644097,2008-06-07 02:00:36,9
"266",4318210.22654392,3450249.88583916,2008-06-07 08:00:54,9
"267",4318304.15825737,3450384.53514567,2008-06-07 14:00:43,9
"268",4318261.8621866,3450223.16005283,2008-06-07 20:00:53,9
"269",4317909.65687633,3449862.20003661,2008-06-08 02:00:42,9
"270",4318004.22109991,3450182.81005024,2008-06-08 08:00:26,9
"271",4318185.6119456,3450348.21763724,2008-06-08 14:00:39,9
"272",4318145.98632354,3450304.78519538,2008-06-08 20:01:24,9
"273",4318024.31240214,3450259.51327266,2008-06-09 02:00:57,9
"274",4318115.5970294,3450207.2310798,2008-06-09 08:01:11,9
"275",4317907.31394462,3450403.14393089,2008-06-09 14:01:53,9
"276",4318031.60096592,3450350.39517366,2008-06-09 20:00:41,9
"277",4318025.18083895,3450391.47915908,2008-06-10 04:01:41,10
"278",4317907.24316816,3450398.14575833,2008-06-10 10:03:21,10
"279",4317925.23030295,3450396.89162236,2008-06-10 16:05:17,10
"280",4316902.68436463,3450307.36282655,2008-06-10 22:05:56,10
"281",4316276.58166651,3449888.27995659,2008-06-11 04:07:38,10
"282",4316275.52498612,3449884.29553481,2008-06-11 10:08:54,10
"283",4315540.0040881,3449649.7258174,2008-06-11 22:12:56,11
"284",4315602.57008872,3449617.84703904,2008-06-12 04:14:18,11
"285",4315606.64573299,3449693.77725478,2008-06-12 10:15:14,11
"286",4315571.22819478,3449594.29360556,2008-06-12 16:16:17,11
"287",4315523.64047865,3449271.01770041,2008-06-12 22:17:14,11
"288",4315040.26012526,3449394.82595848,2008-06-13 04:18:11,11
"289",4314949.03537055,3449734.06029039,2008-06-13 10:18:55,11
"290",4314957.97944799,3449729.93461898,2008-06-13 16:19:50,11
"291",4314101.33999082,3449560.05938926,2008-06-13 22:20:26,11
"292",4314865.63296427,3449707.24257741,2008-06-14 04:22:41,11
"293",4314894.686642,3449851.80910421,2008-06-14 10:23:25,11
"294",4314959.34688783,3449967.87721103,2008-06-14 18:00:55,12
"295",4314257.19176744,3449475.87203825,2008-06-15 00:00:48,12
"296",4314982.96264477,3449657.59330653,2008-06-15 06:00:53,12
"297",4314987.04783973,3449663.53465515,2008-06-15 12:00:41,12
"298",4315005.03051406,3449591.29220086,2008-06-15 18:01:24,12
"299",4314304.33151147,3449626.18253723,2008-06-16 00:00:41,12
"300",4314994.00591553,3449660.43687003,2008-06-16 06:01:49,12
"301",4314965.76780746,3449714.82702732,2008-06-16 12:00:41,12
"302",4314998.25582427,3449819.35141868,2008-06-16 18:00:53,12
"303",4315205.04036999,3449729.44491595,2008-06-17 00:00:48,12
"304",4314985.92042138,3449654.5520152,2008-06-17 06:00:53,12
"305",4314989.10458655,3449667.50496973,2008-06-17 12:01:14,12
"306",4314785.48096331,3449627.3873756,2008-06-17 18:00:44,12
"307",4314313.97413206,3449530.06162802,2008-06-18 00:00:18,12
"308",4314866.25552887,3449751.22675703,2008-06-18 06:00:54,12
"309",4314952.53990428,3449910.98247531,2008-06-18 12:00:42,12
"310",4314976.6311642,3449987.62990423,2008-06-18 18:00:53,12
"311",4314335.98551314,3449459.76195309,2008-06-19 00:00:41,12
"312",4314948.55375278,3449912.03860973,2008-06-19 06:00:53,12
"313",4314884.99717697,3449873.94242069,2008-06-19 12:00:47,12
"314",4315011.92183187,3449866.15089165,2008-06-19 18:00:53,12
"315",4314276.99520889,3449461.59466125,2008-06-20 00:00:55,12
"316",4314860.51939577,3449699.3160678,2008-06-20 06:01:18,12
"317",4314828.99355305,3449662.76717218,2008-06-20 12:00:41,12
"318",4314898.39490424,3449689.78263197,2008-06-20 18:00:53,12
"319",4315052.11952712,3449384.66007159,2008-06-21 04:02:12,13
"320",4315023.45125078,3449762.00471511,2008-06-21 10:02:54,13
"321",4315043.18845231,3449813.71764696,2008-06-21 16:03:55,13
"322",4315150.9468938,3449653.22122759,2008-06-21 22:04:47,13
"323",4315052.23271881,3449392.6571973,2008-06-22 04:05:26,13
"324",4314993.23222966,3449676.44523903,2008-06-22 10:06:23,13
"325",4314161.14647454,3449545.21726056,2008-06-23 00:00:53,14
"326",4314919.74058678,3449784.46600386,2008-06-23 06:00:50,14
"327",4314960.21961568,3449958.86632806,2008-06-23 12:00:47,14
"328",4315029.4795081,3449975.88529609,2008-06-23 18:01:12,14
"329",4314231.26496023,3449552.22603999,2008-06-24 00:00:39,14
"330",4314868.07173923,3449738.20318569,2008-06-24 06:00:41,14
"331",4314944.45440436,3449905.09762386,2008-06-24 12:01:18,14
"332",4314994.25047608,3449960.38539848,2008-06-24 18:00:51,14
"333",4314234.31735914,3449485.1935631,2008-06-25 00:00:12,14
"334",4314945.49692847,3449908.08242039,2008-06-25 06:01:11,14
"335",4315047.7734456,3449925.63494765,2008-06-25 12:00:42,14
"336",4315082.15348292,3449881.15644885,2008-06-25 18:00:53,14
"337",4315031.96830953,3449021.00258055,2008-06-26 00:00:54,14
"338",4314924.80779565,3449506.43883849,2008-06-26 06:00:42,14
"339",4314822.05477714,3449525.88700475,2008-06-26 12:01:08,14
"340",4314995.07673684,3449665.42094834,2008-06-26 18:00:57,14
"341",4314318.79058629,3449516.99568719,2008-06-27 00:00:47,14
"342",4314805.68644065,3449288.15602203,2008-06-27 06:00:54,14
"343",4314760.68754865,3449359.78015815,2008-06-27 12:01:06,14
"344",4314756.72001482,3449432.82457226,2008-06-27 18:01:27,14
"345",4314276.5346527,3449075.66220745,2008-06-28 00:00:11,14
"346",4314764.61264488,3449283.7368122,2008-06-28 06:00:53,14
"347",4314677.35070882,3449478.93816564,2008-06-28 12:01:18,14
"348",4314698.4796194,3449487.63838049,2008-06-28 18:00:53,14
"349",4314141.39520762,3449492.50450251,2008-06-29 00:00:17,14
"350",4315017.38005372,3449757.09125669,2008-06-29 06:00:48,14
"351",4314963.31940783,3449753.85536862,2008-06-29 12:00:53,14
"352",4314948.25715929,3449679.08007092,2008-06-29 18:00:52,14
"353",4314131.48030316,3449286.67705432,2008-06-30 00:00:41,14
"354",4314710.3531817,3449478.47214944,2008-06-30 06:00:42,14
"355",4314962.06411955,3449947.84204141,2008-06-30 12:01:23,14
"356",4314966.74360868,3449995.76826128,2008-06-30 18:00:53,14
"357",4314437.73500425,3449157.37303302,2008-07-01 00:00:42,14
"358",4314964.90869884,3449936.80363089,2008-07-01 06:00:55,14
"359",4314952.70969992,3449922.97815533,2008-07-01 12:00:55,14
"360",4314948.5679024,3449913.03824974,2008-07-01 18:01:51,14
"361",4314350.27396031,3449550.54578091,2008-07-02 00:00:10,14
"362",4314776.48620395,3449274.57057876,2008-07-02 06:00:28,14
"363",4314925.90691292,3449513.42220059,2008-07-02 12:00:47,14
"364",4315136.19541955,3449812.40410154,2008-07-02 18:00:42,14
"365",4316725.123911,3449070.07359655,2008-07-03 00:00:47,14
"366",4317339.75750967,3449668.28899706,2008-07-03 06:00:54,14
"367",4317316.74171515,3449667.61446451,2008-07-03 12:00:38,14
"368",4317315.40196895,3449643.63731886,2008-07-03 18:00:48,14
"369",4317259.93156117,3450035.35740041,2008-07-04 00:00:38,14
"370",4318132.99037235,3450375.957186,2008-07-04 06:00:48,14
"371",4318134.97635933,3450374.92927178,2008-07-04 12:01:22,14
"372",4318068.05154492,3450310.8862696,2008-07-04 18:00:49,14
"373",4317950.50407837,3449850.62438078,2008-07-05 00:00:53,14
"374",4318113.75259593,3450218.25533849,2008-07-05 06:00:47,14
"375",4318112.58266092,3450206.27386427,2008-07-05 12:01:23,14
"376",4318115.63949538,3450210.22998328,2008-07-05 18:00:53,14
"377",4318072.24081968,3450394.81313422,2008-07-06 00:01:01,14
"378",4318125.43780549,3450337.07043087,2008-07-06 06:00:47,14
"379",4318187.49884264,3450340.19228356,2008-07-06 12:00:52,14
"380",4318171.61516123,3450207.43888528,2008-07-06 18:01:01,14
"381",4317192.11102325,3450261.27910402,2008-07-07 00:00:48,14
"382",4317464.09706855,3449972.48143243,2008-07-07 06:00:42,14
"383",4317587.94538526,3449888.74424686,2008-07-07 12:00:53,14
"384",4317494.41990288,3449924.06068696,2008-07-07 18:00:45,14
"385",4317173.05266654,3450045.58386903,2008-07-08 00:00:47,14
"386",4317499.44856823,3449925.98927796,2008-07-08 06:00:52,14
"387",4317435.77437521,3450020.87390202,2008-07-08 12:01:01,14
"388",4317415.2540999,3450055.15837816,2008-07-08 18:00:54,14
"389",4316925.77969849,3449607.15063948,2008-07-09 00:00:23,14
"390",4317400.72874518,3449594.43914523,2008-07-09 06:00:24,14
"391",4317404.37520105,3449569.39168766,2008-07-09 12:01:08,14
"392",4317271.46023842,3449719.24613653,2008-07-09 18:00:48,14
"393",4315853.67876759,3449267.35566442,2008-07-10 00:00:39,14
"394",4316073.93041505,3449422.21883107,2008-07-10 06:01:23,14
"395",4316164.78137757,3449409.93709698,2008-07-10 12:01:00,14
"396",4316182.69778045,3449403.68494358,2008-07-10 18:00:48,14
"397",4316131.52917072,3449251.4324706,2008-07-11 00:00:41,14
"398",4316174.35757971,3449379.8066402,2008-07-11 06:01:42,14
"399",4315950.20438231,3449443.96350131,2008-07-11 12:00:54,14
"400",4315967.29052735,3449449.72116245,2008-07-11 18:00:42,14
"401",4315036.61870962,3449278.89586977,2008-07-12 00:00:42,14
"402",4314807.00672432,3449452.11128904,2008-07-12 06:00:47,14
"403",4315034.92408507,3449653.85996272,2008-07-12 12:00:49,14
"404",4315001.80788358,3449858.29500967,2008-07-12 18:00:48,14
"405",4314836.58833943,3449704.6532174,2008-07-13 00:00:41,14
"406",4315009.72358668,3449852.1841792,2008-07-13 06:00:38,14
"407",4315095.89073287,3449720.98806615,2008-07-13 12:00:48,14
"408",4315022.21972639,3449887.00209219,2008-07-13 18:00:53,14
"409",4314881.76602999,3449787.00196502,2008-07-14 00:00:31,14
"410",4314974.56985932,3449912.67103461,2008-07-14 06:01:24,14
"411",4314964.14916846,3449953.81163354,2008-07-14 12:00:47,14
